"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"a8vo","Bros Ribs And Steaks Corner - Tahimik Avenue","Filipino",4.7,455,"davao city davao del sur"
"a8vp","Chang Tea - Mabini","Milk Tea",5.0,499,"valencia bukidnon"
"a8xf","Chowking - San Pedro","Fast Food",4.9,4642,"davao city davao del sur"
"a8z7","Keto Filipino","",0.0,0,"quezon city"
"a8za","Baga Burger - Tumana Marikina","Burgers",5.0,97,"marikina"
"a8ze","Aling Banang This Is It Pancit! - Nagtahan","Asian",5.0,6304,"manila"
"a90r","Palamilk Tea - Laong Laan Road","Milk Tea",5.0,199,"manila"
"a92y","24 Chicken - Gensan Drive","Fried Chicken",5.0,1460,"koronadal south cotabato"
"a935","3M's Food Hub - Buhangin","Korean",5.0,152,"davao city davao del sur"
"a93d","Great Greens: Salads & Grains - Marikina Heights","Salads",5.0,464,"marikina"
"a93z","Pad Thai Goong - Escario Street","Thai",4.9,246,"cebu city"
"a9ap","Infinitea - N Domingo","Milk Tea",4.9,158,"san juan"
"a9bj","Breakfast Club - Salcedo","Filipino",5.0,541,"makati city"
"a9jh","Chick Boy - Arellano Street","Chicken Wings",4.9,418,"koronadal south cotabato"
"a9ko","Ala Arozzcaldo - Abad Santos","Korean",5.0,152,"koronadal south cotabato"
"a9l9","Boiling Shrimp Hauz - Basak","Filipino",5.0,272,"lapu-lapu city cebu"
"a9of","Baked Puff - SM NORTH","Desserts",0.0,0,"quezon city"
"a9s1","Krazy Garlik - One Ayala","Asian",0.0,0,"makati city"
"a9uo","Caffe Angelito Coffee and Juice Bar - Tapuac","Pizza",5.0,200,"dagupan pangasinan"
"aa4l","Egg Bomb - Unlad Condominium","Korean",5.0,1519,"manila"
"aa82","Ala Eh! Batangas Lomi at Pares - P. Campa","Lomi",4.6,259,"manila"
"aaao","Bamboo Cafe PH","Beverages",5.0,42,"marikina"
"aac3","J&G Fried Chicken and Gong cha - Estancia","Fried Chicken",5.0,152,"pasig city"
"aadc","Hotbox PH Self-heating Food Box","Filipino",4.8,23,"makati city"
"aaju","Ate Rica's Bacsilog - Ayala Malls Marikina","Silog",5.0,86,"marikina"
"aams","Iced Earth - JP Laurel Avenue","Ice Cream",0.0,0,"davao city davao del sur"
"aaq5","Type A Coffee - Sheridan","Coffee",0.0,0,"mandaluyong city"
"aaql","Mr Shaw Shawarma - Susano","Shawarma",0.0,0,"quezon city"
"aawo","Magoo's Pizza - Q Plaza","Pizza",5.0,77,"makati city"
"ab1h","KYUKYU RAMEN 99 - Fairview Terraces","Ramen",5.0,207,"quezon city"
"ab8v","Chicken Star - General Avenue","Fried Chicken",4.7,401,"quezon city"
"aba0","Torisho - SM North Edsa","Ramen",0.0,0,"quezon city"
"abeh","Conti's Bakeshop and Restaurant - Westgate Alabang","Cakes",5.0,286,"muntinlupa city"
"abhu","CHN CAFE MAKATI","Coffee",0.0,0,"makati city"
"abkj","Mang Binatog - Robinsons Place Manila","Filipino",5.0,162,"manila"
"ablh","Famous Belgian Waffles - Shaw Center Mall","Pancakes & Waffles",5.0,46,"mandaluyong city"
"abnc","CoCo Fresh Tea & Juice - SM Mall of Asia","Milk Tea",5.0,4008,"pasay city"
"ac4t","15coffee PH - Diliman","Coffee",0.0,0,"quezon city"
"ac5f","Red Lotus by Modern Shang - BGC","Asian",0.0,0,"taguig city"
"acbt","K-Egg Spark Place - Quezon City","Korean",4.9,13,"quezon city"
"acea","Pan De Manila - Jaboneros","Bread",5.0,79,"manila"
"aced","RBX Rice in a Box - Puregold Makati","Fast Food",5.0,144,"makati city"
"ache","Kenny Rogers Roasters - Muntinlupa","Chicken",5.0,143,"muntinlupa city"
"acil","GRIFONI'S - Alabang Town Center","Pizza",0.0,0,"muntinlupa city"
"acjo","Daily Lemon - Fuente Osmeña Circle","Fruit Shake",0.0,0,"cebu city"
"acnq","Bowlsome Healthy Bowls - Sampaloc","Rice Bowl",5.0,99,"manila"
"acrw","Mang Tomas Ganado Express by Cloudeats - Makati","Sisig",0.0,0,"makati city"
"acua","Moonleaf Tea Shop - Xavier San Juan","Beverages",0.0,0,"san juan"
"ad13","Jollybear - Marfori","Fried Chicken",1.7,27,"davao city davao del sur"
"ad80","The Plant-Based Project - Malingap Street","",5.0,124,"quezon city"
"adah","Mango Magic - NGI Market","Beverages",5.0,56,"marikina"
"adau","Cafe Libro","Coffee",0.0,0,"davao city davao del sur"
"adfn","Johnn Lemon - Robinsons Cybergate Davao","Beverages",5.0,191,"davao city davao del sur"
"adnm","Dreamerscorner PH","Filipino",0.0,0,"quezon city"
"adxf","Victorino's Restaurant - Scout Rallos","Filipino",5.0,61,"quezon city"
"ae0h","Deliziosa PH - Sampaloc","Coffee",4.9,28,"manila"
"ae27","The Aristocrat Restaurant - Quezon Memorial Circle","Filipino",5.0,504,"quezon city"
"ae3b","Momo Egg Drop - Shell Malolos","Sandwiches",0.0,0,"malolos bulacan"
"ae4t","Timplang Pinoy: Filipino Eats - Kapitolyo","Filipino",4.8,64,"pasig city"
"ae5l","Four30 Gastropub - Tomas Morato Avenue","Sisig",0.0,0,"quezon city"
"ae61","Wings & Chops - UN Square Mall","Chicken Wings",4.8,14,"manila"
"aeg0","Ong's Maki Restaurant - Antipolo Street","Chinese",0.0,0,"manila"
"aeg4","TaraDito Snack Bar","American",5.0,27,"marikina"
"aegg","MPC Pigar Pigar - Galvan Street","Filipino",5.0,1361,"dagupan pangasinan"
"aek5","Momo Korean Egg Drop - MOA","Korean",0.0,0,"pasay city"
"aem3","Single Origin – Capitol Commons","Pasta",0.0,0,"pasig city"
"aepy","Bo's Coffee - Classica Tower","Coffee",5.0,2332,"makati city"
"aeq9","Tapsi ni Papsi - Lark Street","Silog",0.0,0,"marikina"
"aetj","Tagaytay Bulalo Specials - Roosevelt Avenue","Soups",5.0,230,"quezon city"
"aetu","Rita's Pancit Ng Taga Malabon - Robinsons Galleria","Noodles",0.0,0,"quezon city"
"aezx","Masa Madre Bakehouse - 11th Avenue","Filipino",0.0,0,"taguig city"
"af08","Taho Story - GH Mall","Filipino",0.0,0,"san juan"
"af2m","Handsome Chicken","Chicken",0.0,0,"makati city"
"af7x","Choi Garden - Gateway Mall 2","Chinese",0.0,0,"quezon city"
"afbt","Manna Korean Restaurant - Sm Lanang","Korean",4.9,114,"davao city davao del sur"
"afe6","Sulit Shawarma! - Makati","Shawarma",4.8,589,"makati city"
"afl8","Bheng's Homemade -Purok 6 Santisima Trinidad","Korean",4.8,23,"malolos bulacan"
"afnk","Soy & Bean - Taft Avenue","Healthy",4.9,129,"manila"
"afqt","Why Chicken - Marikina - Bayan-Bayanan Avenue","Biryani",5.0,140,"marikina"
"afrz","Hong Kong style Noodles and Dimsum - Puregold Nangka","Asian",0.0,0,"marikina"
"afw4","Little Ice Age - Lacson Avenue","Filipino",0.0,0,"manila"
"afx4","Daily by Bo's Coffee - Marcelo Koronadal","Coffee",5.0,305,"koronadal south cotabato"
"afxq","Streetfood Ta Bai! - Rosedale Place","Asian",4.8,447,"cebu city"
"afxs","Ristorante Bigoli - SM City Southmall","Pasta",5.0,49,"muntinlupa city"
"ag1z","All Wings - Alabang","Chicken Wings",0.0,0,"muntinlupa city"
"ag27","Mang Biryani - Acacia Street","Biryani",5.0,15,"makati city"
"ag5i","Mark's Pepper Meal - Sugbo Mercado IT Park","Rice Bowl",5.0,50,"cebu city"
"agai","Popeyes Chicken - UP Town Center","Chicken",4.9,1592,"quezon city"
"agg8","Binalot - Market! Market!","Filipino",5.0,486,"taguig city"
"agj7","Popeyes Chicken - Market! Market!","Chicken",5.0,3705,"taguig city"
"agju","Blessed Bhiestro - Marikina Heights","Italian",5.0,339,"marikina"
"agmj","Pinoy Food Taste - Matina Aplaya","Filipino",4.9,478,"davao city davao del sur"
"agmq","ChizMozza - Festival Mall Alabang","American",4.9,16,"muntinlupa city"
"agpg","Winnia Indian Restaurant - Mango Avenue","Curry",4.8,44,"cebu city"
"agrt","Everyday Ulam- Quezon City","Filipino",0.0,0,"quezon city"
"agse","Sisig Hooray - Robinsons Place Manila","Sisig",4.2,156,"manila"
"ah1v","Happy Days Cafe - Diversion Road","Snacks",0.0,0,"davao city davao del sur"
"ah1w","Saad's Kitchenette - Mercato de Mactan","Indian",0.0,0,"lapu-lapu city cebu"
"ah4r","Yoshinoya - Ever Commonwealth","Asian",4.8,34,"quezon city"
"ah76","Lucciola Kitchen & Bar - 94 Avisha Center","Western",5.0,142,"marikina"
"ah9y","K Street Food, Silog and Milktea - Pardo Tambayan","Korean",4.9,539,"cebu city"
"ahc3","Kabute Corner - Veterans Village","Pasta",0.0,0,"quezon city"
"ahhe","Original Bakery - Ayala Malls Cloverleaf","Snacks",0.0,0,"quezon city"
"ahjv","Tiger Sugar - SM Fairview","Milk Tea",4.9,60,"quezon city"
"ahl4","House of Sinangag - Midtown Subdivision","Filipino",4.7,88,"marikina"
"ahsh","Forkfully - Tapuac","Burgers",4.5,14,"dagupan pangasinan"
"ai1e","Hybrid Coffee - Humay-Humay Road","Coffee",5.0,2312,"lapu-lapu city cebu"
"ai1t","Pong Cafe","Desserts",0.0,0,"pasay city"
"aid6","Mango Royal Milkshake - San Joaquin","Fruit Shake",5.0,685,"pasig city"
"aigv","Flaky Co - SM North EDSA","Bread",5.0,14,"quezon city"
"aihz","Starbucks - SM Muntinlupa","Coffee",5.0,130,"muntinlupa city"
"aikd","Ko-Tea - North Fairview","Milk Tea",0.0,0,"quezon city"
"aiq4","Koomi - Market! Market!","Beverages",4.9,42,"taguig city"
"aiqe","Wing Express - Urbano Velasco Avenue","Chicken Wings",5.0,64,"pasig city"
"aixz","Bashh - Matina Aplaya","Coffee",5.0,394,"davao city davao del sur"
"aj0t","Dylan Gourmet Cafe - SM North Edsa","Pasta",0.0,0,"quezon city"
"aj21","Tropical Hut - Buendia","Burgers",5.0,4083,"makati city"
"aj68","Roxsie's Sinugba - Nagkaisang Nayon","Filipino",0.0,0,"quezon city"
"aj8g","Cusina by Albergus - ATC","Snacks",0.0,0,"muntinlupa city"
"aj8l","Turks - SM MOA Terminal Main","Shawarma",0.0,0,"pasay city"
"ajd8","Gamut Bar + Kitchen - General Lim Street","Coffee",0.0,0,"cebu city"
"ajdc","Island Samgyupsal - BELEN ROAD","Korean",5.0,128,"davao city davao del sur"
"ajdg","Heavenly Desserts by Chef Jeng - Ayala Malls The 30th","Cakes",5.0,58,"pasig city"
"ajkq","Mr Pugo - D Veloso","Filipino",5.0,679,"ormoc leyte"
"ajow","Biryani Express - San Rafael Street","Biryani",4.9,42,"manila"
"ajp0","239 coffee + dessert","Filipino",0.0,0,"quezon city"
"ajqt","Burgstea - Lakandula Street","Burgers",4.2,11,"manila"
"ajtk","Reyna Fried Chicken - Quezon Avenue","Chicken",3.6,43,"quezon city"
"ajum","Humble Bee  - Zone 4","Snacks",0.0,0,"koronadal south cotabato"
"ajzd","Bantayan Burrito Company - City Time Square","Filipino",5.0,259,"cebu city"
"ajzq","Drip & Dip Takoyaki Oct-Chi - Anda","Takoyaki",4.8,84,"davao city davao del sur"
"ajzy","Flower Ranch Cafe - Shaw Boulevard","Beverages",0.0,0,"mandaluyong city"
"ak43","Red Lotus by Modern Shang - Shangri-La Plaza","Asian",0.0,0,"mandaluyong city"
"ak4k","King Chef - Makati","Chinese",0.0,0,"makati city"
"ak5p","P. Donuts - Gaisano Mall","Cakes",0.0,0,"davao city davao del sur"
"ak89","E&E's Takuyaki - One Pavillion Mall","Takoyaki",5.0,444,"cebu city"
"akc7","Fruitas - NCCC VP Mall","Fruit Shake",0.0,0,"davao city davao del sur"
"akqs","The Green Menu - Kapitolyo","Healthy",5.0,335,"pasig city"
"akwj","Modern Table (Capitol Commons Pasig)","Filipino",0.0,0,"pasig city"
"alb0","Macao Imperial Tea - Ayala Center Cebu","Beverages",5.0,863,"cebu city"
"alfl","Dumbo Coffee","Beverages",0.0,0,"muntinlupa city"
"alk1","Taste of Punjab Indian Restaurant - Dagupan Pangasinan","Indian",4.6,11,"dagupan pangasinan"
"allk","Wildflour Cafe + Bakery - Greenbelt","American",4.8,169,"makati city"
"alqw","Sabai Sabai a Thai Kitchen - Fuente","Filipino",4.7,20,"cebu city"
"alva","Khao Khai Thai Chicken House - SM Manila","Thai",5.0,526,"manila"
"alzx","Hongkong Style Fried Noodles & Dimsum - Arnaiz","Noodles",5.0,29,"pasay city"
"am0n","Ethan King's Food House - Honorio Lopez Boulevard","Chicken",4.9,73,"manila"
"am40","MANGO LOVE PH - CAPITOL HILLS","Desserts",0.0,0,"quezon city"
"am53","Panda Express - Robinsons Place Manila","Snacks",5.0,1074,"manila"
"am77","Keffir - UNO Cinquenta Maginhawa","Beverages",5.0,20,"quezon city"
"am7t","Cabalen Plus - Glorietta 2","Ulam",4.8,75,"makati city"
"ameb","Kian's Brew Café - Mabini Street","Coffee",5.0,35,"koronadal south cotabato"
"amis","Genger's Bread house Coffee & Tea - Abuno, Pajac","Coffee",4.9,110,"lapu-lapu city cebu"
"amoc","Icebergs - Ust Multi Deck Carpark","Ulam",5.0,51,"manila"
"amp7","Balai Kaffa Cafe + All Day Breakfast - Sta. Ana","Coffee",5.0,151,"manila"
"amqk","Boomdogs - UN Square","American",4.8,44,"manila"
"amrm","Kape Sur - Cardinal Rosales Avenue","Coffee",5.0,23,"cebu city"
"amtc","Mangan - Glorietta 2","Ulam",4.9,253,"makati city"
"amzg","KAPEpito's - Juan Luna","Beverages",0.0,0,"manila"
"an1j","LanDang's Dynamite Lumpia - Opon Merkado","Siomai",0.0,0,"lapu-lapu city cebu"
"anct","Togo Coffee- Cityland Makati","Beverages",0.0,0,"makati city"
"aniq","Mr Chow-Fun by Rudy's - 6th Street Silog Meals and Lutong Bahay","Filipino",4.9,23,"marikina"
"anje","Happy Cup - Central Signal","Milk Tea",4.9,173,"taguig city"
"anjj","Appeteazing Manila","Beverages",0.0,0,"manila"
"ank0","Papa Bagnet - Asturias Street","Liempo",4.9,119,"manila"
"anm2","Juice Juicy - Waltermart Guiguinto","Beverages",5.0,127,"malolos bulacan"
"anod","Bukorific Shake - Grocery Pacific Mall","Fruit Shake",4.9,13,"cebu city"
"anpu","KYUKYU RAMEN 99 - NBS Commercial Complex","Ramen",5.0,395,"quezon city"
"anu4","Manam's Pancit Pancitan - Fairview","Filipino",4.9,209,"quezon city"
"anuk","Happy Lemon - GMall of Cebu","Snacks",5.0,73,"cebu city"
"ao41","2FIVE8 Rice Meal - The Coast","Rice Bowl",4.4,23,"cebu city"
"aof2","Crunch Time - Canley","Fried Chicken",5.0,89,"pasig city"
"aohh","Papa Jan's Pasta - Mactan","Pasta",5.0,56,"lapu-lapu city cebu"
"aoiy","Tonala Mexican Food - SM Lanang","Western",0.0,0,"davao city davao del sur"
"aom9","Faradize Burger - Saint Mary Street","Burgers",4.9,325,"quezon city"
"aomu","Anyhow Inasal - Cuasay","BBQ",5.0,77,"taguig city"
"aop7","Kushizaru Japanese Restaurant - Makati","Rice Bowl",0.0,0,"makati city"
"aord","Cravings Signatures - White Plains","Pasta",0.0,0,"quezon city"
"aorz","Lucky Boba Milktea - Mercedes Avenue","Milk Tea",5.0,857,"pasig city"
"aouk","Yum Food Hub - San Marcelino Street","Filipino",4.9,61,"manila"
"aov6","Boba Milk and Tea PH Hub, Ayala Malls the 30th","Filipino",0.0,0,"pasig city"
"aoyv","Majestea Coffee - Paco Mall","Coffee",5.0,32,"manila"
"ap1u","Queen and Princess - Dampa sa Timog","Filipino",5.0,417,"quezon city"
"ap60","ZUS Coffee - Ayala Malls Marikina","Coffee",5.0,316,"marikina"
"ap7n","Thai-Noy Cuisine - P.burgos","Thai",5.0,284,"makati city"
